David Mitchell	Scarlett Thomas	Haruki Murakami	Kate Atkinson	Ian Mcewan	Margaret Atwood	Mark Z. Danielewski	A.S. Byatt	David Foster Wallace	Jonathan Coe	Junot Diaz	Iain Banks	Ruth Ozeki	Louis Wood	Tobias Hill	Jeffrey Eugenides	Gwendoline Riley	Jose Saramago	Cormac Mccarthy	Jasper Fforde	Paul Auster	Hanya Yanagihara	Bruce Chatwin	Richard Powers	Chimamanda Ngozi Adichie	Don Delillo	John Fowles	Paul Keitel	Italo Calvino	Roberto Bolano																			
David Foster Wallace	Thomas Pynchon	Don Delillo	George Saunders	Jonathan Franzen	William Gaddis	Haruki Murakami	Dave Eggers	Cormac McCarthy	James Joyce	Jorge Luis Borges	Vladimir Nabokov	Roberto Bolano	Salman Rushdie	Kurt Vonnegut	David Mitchell	Mark Z. Danielewski	Jonathan Lethem	Jonathan Safran Foer	Michael Chabon	David Sedaris	Zadie Smith	William Faulkner	Neal Stephenson	Paul Auster	Martin Amis	Jeffrey Eugenides	Donald Barthelme	Italo Calvino	John Kennedy Toole																			
Thomas Pynchon	David Foster Wallace	Don Delillo	William Gaddis	James Joyce	Jorge Luis Borges	Cormac McCarthy	Salman Rushdie	Vladimir Nabokov	Haruki Murakami	Philip Kindred Dick	Italo Calvino	William Faulkner	Paul Auster	Kurt Vonnegut	Philip Roth	George Saunders	Samuel Beckett	John Barth	William S. Burroughs	Neal Stephenson	Roberto Bolano	Jonathan Franzen	Franz Kafka	William Gibson	Donald Barthelme	Umberto Eco	Michael Chabon	William H. Gass	Jonathan Lethem																			
Cormac McCarthy	William Faulkner	Flannery O'Connor	Ernest Hemingway	Raymond Carver	Herman Melville	John Steinbeck	Mark Twain	Joseph Conrad	Thomas Pynchon	David Foster Wallace	Don Delillo	Denis Johnson	Philip Roth	Kurt Vonnegut	F. Scott Fitzgerald	Ian Mcewan	Haruki Murakami	Chuck Palahniuk	Hunter S. Thompson	Larry Mcmurtry	Jerome David Salinger	Bret Easton Ellis	Jon Krakauer	Tobias Wolff	William Gay	Stephen King	David Mitchell	Michael Chabon	Jonathan Franzen																			
Ernest Hemingway	John Steinbeck	F. Scott Fitzgerald	Jerome David Salinger	William Faulkner	Hunter S. Thompson	Jack Kerouac	Kurt Vonnegut	Cormac McCarthy	Charles Bukowski	Chuck Palahniuk	George Orwell	William S. Burroughs	Fyodor Dostoyevsky	Fitzgerald	Bret Easton Ellis	Gabriel Garcia Marquez	James Joyce	Albert Camus	Mark Twain	Ayn Rand	Irvine Welsh	Leo tolstoy	Nick Hornby	Haruki Murakami	Jack London	Raymond Carver	Hermann Hesse	Franz Kafka	Oscar Wilde																			
Albert Camus	Franz Kafka	Hermann Hesse	Aldous Huxley	George Orwell	Milan Kundera	Fyodor Dostoyevsky	Gabriel Garcia Marquez	Charles Bukowski	Vladimir Nabokov	Kurt Vonnegut	James Joyce	Jean-Paul Sartre	Jack Kerouac	Oscar Wilde	Umberto Eco	Friedrich Nietzsche	Henry Miller	Ernest Hemingway	Paul Auster	Haruki Murakami	Tom Robbins	Jerome David Salinger	Chuck Palahniuk	Italo Calvino	Samuel Beckett	William Faulkner	Stefan Zweig	Jorge Luis Borges	John Steinbeck																			
	Pushkin	Anton Chekhov	Tom Stoppard	Lermontov	Alexander Pushkin	Leo tolstoy	George Eliot	Ivan Turgenev	Lev Tolstoi	Ivan Bunin	Fyodor Dostoyevsky	Turgenyev	Strugatsky Brothers	Sergey Dovlatov	Pelevin	Andrew Marvell	Haruki Murakami	Italo Calvino	Salman Rushdie	Thackeray	Edward Albee	George Bernard Shaw	Markes	Ilja Ilf	Kharms	Mayakovsky	Vladimir Nabokov	Virginia Woolf	Donna Tartt																			
	Fyodor Dostoyevsky	Pushkin	GOGOL	Lermontov	Anton Chekhov	Mikhail Bulgakov	Alexander Pushkin	Victor Hugo	Balzac	Lev Tolstoy	Ernest Hemingway	Charles Dickens	Jules Gabriel Verne	Alexandre Dumas	Marcel Proust	Turgenyev	Jane Austen	Thomas Mann	George Eliot	William Shakespeare	Fitzgerald	Stefan Zweig	Pelevin	Honore Balzac	Mark Twain	Thomas Hardy	Jean-Paul Sartre	John Steinbeck	Virginia Woolf																			
	George Orwell	Franz Kafka	Albert Camus	Hermann Hesse	Kurt Vonnegut	Charles Bukowski	Jack Kerouac	Vladimir Nabokov	Gabriel Garcia Marquez	Milan Kundera	Oscar Wilde	James Joyce	Umberto Eco	Fyodor Dostoyevsky	Tom Robbins	Henry Miller	Chuck Palahniuk	Ray Bradbury	Hunter S. Thompson	Ernest Hemingway	Bret Easton Ellis	John Steinbeck	Jerome David Salinger	Paul Auster	Anthony Burgess	Ayn Rand	Douglas Coupland	William S. Burroughs	Haruki Murakami																			
	Sylvia Plath	Anne Sexton	Seamus Heaney	Tom Stoppard	Samuel Beckett	Edward Albee	George Eliot	Michael Ondaatje	Jeanette Winterson	Marcel Proust	T. S. Eliot	Margaret Atwood	Jeffrey Eugenides	William Faulkner	James Joyce	Kazuo Ishiguro	Vladimir Nabokov	F. Scott Fitzgerald	Fyodor Dostoyevsky	Iris Murdoch	Michael Cunningham	Emily Bronte	Leo tolstoy	Alice Munro	Anton Chekhov	Simone de Beauvoir	Henry James	Jorge Luis Borges	Toni Morrison																			
