Milan Kundera
Mikhail Bulgakov
Siri Hustvedt
Toni Morrison
Ahmet Hamdi Tanpinar
Albert Camus
Banana Yoshimoto
David Foster Wallace
Kazuo Ishiguro
Paul Auster
Thomas Pynchon
Fernando Pessoa
J.R.R. Tolkien
Georges Perec
Charles Bukowski
George R. R. Martin
Stanislaw Lem
China Mieville
Terry Pratchett
Sarah Waters
Orhan Pamuk
Michael Chabon
Ursula K. LeGuin
Neil Gaiman
Matt Ruff
Jonathan Franzen
Richard Russo
Nick Hornby
Anne Rice
Alice Munro
Jeffrey Eugenides
John Irving
John Steinbeck
David Sedaris
Isabel Allende
Anne Tyler
Kate Atkinson
Raymond Queneau
Stephen King
Jerome David Salinger
Neal Stephenson
Wally Lamb
George Orwell
Margaret Atwood
Salman Rushdie
Umberto Eco
Joyce Carol Oates
Haruki Murakami
Christopher Moore
Mann
Vladimir Nabokov
Barbara Kingsolver
Ray Bradbury
Virginia Woolf
T. Coraghessan Boyle
Fyodor Dostoyevsky
Donna Tartt
Jane Austen
Franz Kafka
İhsan Oktay Anar
Ian Mcewan
Zadie Smith
Tom Robbins
Ann Patchett
Charles Dickens
Isaac Asimov
Ernest Hemingway
Jeanette Winterson
Jose Saramago
Juan Rulfo
Julio Cortazar
Carol Shields
Douglas Adams
Frank Herbert
Gabriel Garcia Marquez
Italo Calvino
Kurt Vonnegut
John Updike
Alan Moore
Hermann Hesse
Oguz Atay
Robert Jordan
Philip Roth
William Gibson
James Joyce
Irvine Welsh
Don Delillo
Pat Conroy
Patrick Rothfuss
Raymond Carver
T. S. Eliot
Orson Scott Card
Howard Phillips Lovecraft
Jim Butcher
Douglas Coupland
Clive Barker
David Mitchell
Joanne K. Rowling
Philip Pullman
Chuck Palahniuk
Thomas Mann
Aldous Huxley
Cormac McCarthy
David Eddings
Jorge Luis Borges
Sylvia Plath
Jonathan Safran Foer
