Emmy Von Rhoden	3.76	1355	36
August Stramm	4.02	48	3
Boccaccio	3.85	37500	1772
John Galsworthy	4.11	33705	2021
Binnie Kirshenbaum	3.42	3870	668
Ruth Dudley Edwards	3.71	2610	335
Angelika Schrobsdorf	4.01	1510	210
George Eliot	3.84	344874	17495
Nathaniel Mackey	4.21	2191	119
Davenport	4.15	2561	284
Sibylle Berg	3.8	3529	305
Elena Poniatowska	3.87	13711	1430
Herbjørg Wassmo	3.97	10109	540
Osho	4.11	81038	5542
Mircea Eliade	4.07	78592	1987
Howard Phillips Lovecraft	4.05	19	0
Vicent Andrés Estellés	4.01	205	11
William Gibson	3.89	604308	25721
William H. Gass	3.98	28796	2810
E. M. Cioran	4.1	28778	2834
Patrícia Melo	3.62	1415	190
Edmund De Waal	3.88	42696	3401
Stig Dagerman	4.02	4221	412
Milo Manara	4.13	38703	1798
Vikram Seth	4.04	64646	4204
Mc Evans	3.63	2694	286
Jack Spicer	4.4	2565	142
Ben Fergusson	3.82	1139	156
Emmanuelle Arsan	3.24	1674	125
Miroslav Krleza	3.85	9956	286
Larry Collins	4.21	18001	1363
Manuel Scorza	4.06	705	58
Nicolas Rey	3.21	433	39
Eduard Mörike	3.25	575	60
Heinrich Laube	4.33	3	0
Antonio Skarmeta	3.68	16003	2062
Ss Van Dine	3.58	3877	514
Louis Wood	4.19	42	11
Amitav Ghosh	3.92	97123	9186
William Nicholson	3.93	49470	2034
Karen Duve	3.59	2501	232
John Kelly	3.88	8385	816
José Samarago	4.0	1	0
Lezama Lima	4.11	1041	84
Sandra Cisneros	3.74	159490	13544
Mamerto Menapace	3.99	105	7
Agatha Christie	4.01	4204233	220806
Martin Walser	3.28	2415	208
Max Aub	3.79	1552	181
Italo Calvino	4.02	295028	20247
Murasaki Shikibu	3.77	14094	1278
Jose Watanabe	4.27	276	48
Hannah Green	3.87	28489	1005
Carl Gustav Jung	4.0	6	1
Frank Ronan	3.73	451	37
Michael J. Fox	3.91	50802	3925
Frantzen	3.8	25	0
Vincent Bugliosi	4.03	144069	5381
Klaus Modick	3.71	650	68
Socrates	3.57	401	58
John Christopher	3.93	47480	3247
Hermann Lenz	3.91	55	8
Patricia Highsmith	3.87	186718	14631
Alex Capus	3.76	4935	498
David Forster Wallace	3.85	251972	9897
Margaret Millar	3.76	5338	916
Mayakovsky	4.12	8727	459
Garrison Keillor	3.83	49177	4980
Amor Towles	4.15	560033	55746
Frances Cha	3.77	8732	1481
Yu Hua	4.11	21350	2570
Sax Rohmer	3.54	6960	1068
Max Allan Collins	3.83	89349	8289
Gaardner	3.63	8	0
Peter Carey	3.61	81608	6960
Oriana Fallaci	3.99	32809	2437
Francis Bacon	3.64	10464	563
Jakob van Hoddis	4.09	44	3
Matt Bell	3.7	4029	862
Marina Colasanti	4.03	1223	87
Ephraim Kishon	4.12	5302	197
Ödön Von Horvath	3.8	7780	352
Deborah Tannen	3.79	11617	1152
Erich Kästner	4.1	41411	1733
Maurice Merleau-Ponty	4.13	8372	299
Klaus Kordon	3.97	2854	120
Hilaire Belloc	3.99	20313	1415
Otto De Kat	3.41	758	129
Jhumpa Lahiri	4.03	613049	43537
Christoph Ransmayer	3.85	3138	278
Stephen J Gould	4.04	68719	2724
Georges Bataille	3.83	37137	2491
Patrick O Brian	3.82	239	25
Michael Douglas	4.52	164	27
Jacob Böhme	3.0	1	0
Plutarch	4.1	26870	1219
Louise Glück	4.1	21179	1903
Barbara Marciniak	4.27	4011	219
David Litt	4.1	6978	977
Daniel Hecht	3.65	5084	633
Florian Illies	3.76	4737	520
Massimo Carlotto	3.59	7902	1124
Kelly L. Murdock	3.97	289	11
Martin Mcdonagh	4.2	27010	1709
Anton Tchekhov	3.82	249	17
Da Waal	4.0	2	0
Lermontov	4.12	59888	1782
Wilson	4.08	356604	12165
Svetislav Basara	3.91	2625	179
George P Pelecanos	3.82	57779	5413
Klaus Kinski	4.02	1146	154
Kurt Guggenheim	4.17	6	1
Per Nilsson	3.48	3740	244
Roger Willemsen	3.78	1872	136
Peter Illis	3.98	10786	1078
Wilson Harris	3.69	459	72
Ulrich Ritzel	3.55	146	19
Jean Rhys	3.65	85146	6965
Peter Hofmann	5.0	2	0
Tim Krohn	3.78	370	52
Christopher Ryan	4.0	25793	2458
Jonathan Safron Foer	3.96	669322	44211
Don Beck	4.23	999	97
Walter Kirn	3.19	13873	2021
Derek Walcott	4.04	7819	736
Thomas Perry	3.94	81300	8242
Manuela Gretkowska	3.29	2063	74
Yoshiyuki Sadamoto	4.24	32256	1076
Lois Lenski	4.04	75310	3601
Harris	4.06	893804	17616
Ludwig Rubiner	3.75	8	0
David Herbert Lawrence	4.0	5	0
Benito Perez Galdos	3.76	24353	1834
Alexander Kluge	3.84	1050	109
Assembly	4.5	2906	121
Alexandre Vialatte	3.83	1831	90
Ingrid Noll	3.71	5243	275
Arthur Schnitzler	3.75	24822	1700
Abe Kobo	3.82	39236	3304
Michael Lentz	3.62	63	9
Tan Twan Eng	4.16	30670	4130
Regina Scheer	4.29	258	42
Alexander Kuprin	4.08	142720	4996
Edmund Husserl	3.99	4177	213
Nikos Kazantzakis	4.11	73875	7217
Robert Charroux	3.3	216	12
Jean Anouilh	3.83	21619	789
Jaime Bayly	3.54	5740	467
Stephen Mccauley	3.67	12667	1574
James Hamilton-Paterson	3.79	3225	473
Cuca Canals	2.76	612	52
Margaret Elphinstone	3.84	1172	206
Mircea Cartarescu	3.8	19385	1174
Jakob Van Hoddis	4.09	44	3
Cruz e Souza	4.16	31	1
Ann Benson	3.86	3169	317
L Frank Baum	3.96	571716	23290
Karen Lord	3.65	8474	1717
Ruth Ozeki	3.99	107749	13834
Gene Brewer	3.96	6184	369
Dieter Wellershoff	3.56	143	12
Rebecca Miller	3.33	4604	599
John Updike	3.81	284791	18217
Anne Tyler	3.65	477717	42679
Spalding Grey	3.95	4691	390
Christa Wolf	3.77	10451	897
Barak Obama	2.0	1	0
Tim Krabbe	3.65	13397	914
Camille Bordas	3.83	2263	388
Christoph Meckel	4.12	207	30
Stephen Vizinczey	3.81	2332	209
Luke Davies	4.08	7250	417
Bernice Morgan	3.98	2228	171
Annette Göttlicher	3.65	310	24
Regis Jauffret	3.23	824	87
Patrick Tschan	3.73	55	8
Billy Graham	4.29	20085	1634
David Hume	3.95	62143	1738
Antoine de Saint-Exupery	4.3	1410096	42974
Gary Indiana	3.86	1951	231
Lydia Lunch	3.8	2357	204
Thomas Rosenboom	3.55	3881	266
André Alexis	3.77	22783	2960
Bioy Casares	3.98	32507	2667
Juli Zeh	3.77	18959	1525
William Golding	3.69	2292701	39336
John Cowper Powys	4.01	1917	273
Paul Valery	3.93	3135	227
Sergio Pitol	3.86	4016	506
Sloterdijk	3.99	3705	319
Robert Plunkett	2.0	1	0
Ishmael Reed	3.99	30753	1773
Mihail Solohov	4.24	17	1
Laurie Penny	3.87	8365	1201
Deneys Reitz	4.33	935	78
Ben Mack	3.91	223	23
Marina Tsvetaeva	4.29	9737	500
Peter Buwalda	3.71	10292	846
Octavio Paz	4.14	26175	1774
Hans-Magnus Enzensberger	4.09	15311	1696
John Tutu	4.31	49020	5273
Mcewan, Ian	3.73	981878	65555
Mc Cullough	0.0	0	0
Álvaro Cunqueiro	3.67	886	66
William Sutcliffe	3.51	7950	941
José Lezama Lima	4.11	1041	84
Giuseppe Ungaretti	4.29	1754	114
Dorothy Parker	4.08	35951	2835
Joe Queenan	3.57	4222	700
Karen-Susan Fessel	3.72	274	31
Eggers	3.71	689596	67633
Santiago Gamboa	3.93	3658	416
J Heller	3.96	748153	19895
Patrick Suskind	3.99	355611	17241
Dickens, Charles	3.89	3155198	94815
Subcomandante Marcos	4.17	2403	176
Alexey Pehov	4.19	15863	598
Alasdair Gray	3.98	12936	1055
Vladimir Makanin	3.76	619	60
Tart	4.3	728	50
Frances Fyfield	3.39	3733	495
Marcelo Benvenutti	2.75	4	0
Mirja Unge	3.61	244	24
Wolfgang Haas	0.0	0	0
Sigismund Krzyzanowski	3.2	5	2
David Peace	3.85	23286	1955
Lars Saaby Christensen	3.93	16775	821
Jan Martel	4.11	9	1
Jean Giono	4.05	14443	1482
Thomas Melle	3.82	810	75
Rian Malan	4.22	3711	244
Hans Carl Artmann	4.0	4	1
Mary Elizabeth Braddon	3.74	34415	2814
John Sladek	4.08	11483	637
Rolf Lappert	3.5	674	55
Boris pilnyak	3.71	317	31
Michael Ende	4.2	243136	10604
Laurent Graff	3.12	462	39
Nicole Kraus	3.81	154236	15365
Virgil	3.86	117334	3374
Theodore Dreiser	3.91	84413	3558
Diego Trelles Paz	3.45	278	54
Joe Orton	3.85	3692	243
Fritz Mühlenweg	4.46	131	19
Kathrin Aehnlich	3.67	145	19
Cormac Maccarthy	3.64	14	1
Alexandra Marinina	3.82	7497	268
Jean Genet	3.98	24191	1191
Robert Menasse	3.65	3033	363
Enrique Serna	4.16	4299	644
Florinda Donner-Grau	5.0	1	0
Han Kang	3.68	114625	15959
Malaparte	4.02	4532	596
Smith, Zadie	3.68	349506	27737
Russel Hoban	4.16	106217	3722
Kastaneda	4.33	6	0
Katy Gardner	3.5	1731	157
Jean Ray	3.74	2309	274
Samuel Björk	3.97	30364	3163
Henry Rider Haggard	0.0	0	0
John Irving	4.0	948928	40916
Bruce Chatwin	3.82	32478	2346
Robert M. Pirsig	3.77	208292	9018
Camil Petrescu	3.73	19543	241
Lawrence Norfolk	3.59	4233	601
Kaplan	3.86	25039	2558
V.S. Naipul	3.71	66745	5051
Laura Kinsale	3.92	35935	3743
Robert Pinsky	3.92	6867	888
Geert Mak	4.0	15430	1166
Michael Ondaatje	3.78	242349	18561
Hanif Kureishi	3.57	33972	2457
Gay Talese	3.8	9435	1018
Mikhail Bulgakov	4.23	345353	16825
Phillis Wheatley	3.89	1871	166
Luigi Pirandello	3.96	60427	2702
Simone De Beauvoir	4.06	97135	6490
Julien Barnes	0.0	0	0
Chekhov	3.96	273979	19081
Rainald Goetz	3.78	1023	63
Bodo Kirchhoff	3.48	879	113
Auster, Paul	3.81	345798	25453
Gottfried Keller	3.29	6700	227
McEwan, Ian	3.73	981891	65555
Nigella Lawson	4.01	97536	1326
Meinecke	4.07	99	19
Yann Queffelec	3.62	1020	93
William Henry Hudson	3.49	109	13
Williams	4.16	2785200	47754
Juri Rytcheu	3.29	14	3
Michael Ventura	3.66	154	22
Hoeg, Peter	3.67	56283	3981
Katherine Heiny	3.53	15152	2206
Smith, Zadie	3.68	349513	27737
Ursula K. LeGuin	4.0	13	4
Konrad Bayer	4.1	125	23
Plato	4.02	418884	12887
Andreas Schlüter	3.57	1177	49
Hoeg, Peter	3.67	56283	3981
Ana Maria Moix	3.74	2318	238
