Stephen King
John Green
David Martin
George Lethem
Jane Austen
George Orwell
Hosseini Khaled
William Shakespeare
Terry Pratchett
Harper lee
Harper Lee
Haruki Murakami
Fitzgerald
Scott F Fitzgerald
Paulo Coelho
Charles Dickens
Douglas Adam
Douglas Adams
Douglas
Ray Bradbury
Kurt Vonnegurt
Kurt Vonnegut
Daniel Baldacci
Thomas Pynchon
Conan Doyle
Doyle
Fromm
Erich Fromm
Fyodor Dostoyevsky
David Sedaris
Sedaris David
Ernest Hemingway
Gabriel Garcia Marquez
Oscar Wilde
Wilde
Oscar Welsh
Stephen Chbosky
Eugenides
Jeffrey Eugenides
Louisa May Alcott
McCarthy
Cormac Mccarthey
Cormac Macarthy
Alan Moore
Mark Twain
Rice
Pulp Fiction
Oliver Twist
Xavier Marias
Frank Unger
Lord Alfred Tennyson
Edgard Allan Poe
Rose Auslaender
j.w. Goethe
Laura Mclem
Xabier Cordal
D H Lawrence
Jean-Arthur Rimbaud
T S Eliot
De Bernieres
Peter Binz
Aleksander Tisma
L M Montgomery
Beatriz Preciado
Ann Patchett
E. B. White
Carl Ruiz Zafon
Carlos Ruiz Zafon
Leon Tolstoy
Leo Tolstoy
Lev Tolstoy
Elie Wiesel
Aldous Huxley
Edgar Allan Poe
Alexandre Dumas
François Mauriac
Aleksandr Soljenitsyn
Chuck
Margaret Mitchell
Alexander Mccall-Smith
Yann Martel
Martel
Sarah Chavez
Golding
Lewis carroll
Philipp K. Dick
Allen Eckert
Neal Stephenson
Albert Camus
Clare Best
Elena Ferrante
Victor Hugo
Daphnée Du Maurier
Ishiguro Kazuo
Isabel Alende
Viktor Frankl
Frankl
Damian Murphy
Emily Bronte
Joachim Kafka
Hanya Yanagihara
Christopher Moore
Justejn Gorder
Ian Mcewan
"Mcewan, Ian"
Colson Whitehead
Toni Morrison
Jesus
Bram Stoker
Kentaro Miura
Alice Walker
Sui Ishida
Lauren Kate
Irwin Welsh
Walt Disney
Jonathan Safran Foer
Safran Foer
Sylvia Plath
Plath
Robert Louis Stevenson
